timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,label
2026-05-23 12:44:23.158599,12,44,23,14.8,65.4,50.0,84.3,105.62,212,212,201,4,3,2,4,6,2,3,759,3.5802,212,1.0,212,13,13,1,0.0698,0,3083,2084,382,malicious
2026-05-23 12:44:24.052562,12,44,24,57.1,65.4,50.0,84.3,105.63,213,213,202,3,3,2,4,6,2,3,763,3.5822,213,1.0,213,12,12,1,0.2681,0,2023,1891,122,malicious
2026-05-23 12:44:25.065206,12,44,25,20.0,65.8,49.9,84.3,105.64,214,214,203,1,3,2,4,6,2,3,770,3.5981,214,1.0,214,12,12,1,0.0935,0,2308,2188,301,malicious
2026-05-23 12:44:26.090669,12,44,26,16.0,65.8,49.9,84.3,105.66,214,214,203,3,3,2,4,6,2,3,770,3.5981,214,1.0,214,12,12,1,0.0748,0,2520,1915,247,malicious
2026-05-23 12:44:27.016898,12,44,27,3.4,65.9,49.9,84.3,105.68,214,214,203,2,3,2,4,6,2,3,763,3.5654,214,1.0,214,11,11,1,0.0159,0,2280,1984,252,malicious
2026-05-23 12:44:27.803235,12,44,27,40.6,65.7,49.8,84.3,105.69,214,214,203,3,3,2,4,6,2,3,763,3.5654,214,1.0,214,11,11,1,0.1897,0,2257,1917,236,malicious
2026-05-23 12:44:28.511212,12,44,28,10.0,65.5,49.8,84.3,105.71,214,214,203,3,3,2,4,6,2,3,763,3.5654,214,1.0,214,11,11,1,0.0467,0,2012,1724,121,malicious
2026-05-23 12:44:29.285229,12,44,29,36.7,65.7,49.7,84.3,105.72,214,214,203,3,3,2,4,6,2,3,763,3.5654,214,1.0,214,10,10,1,0.1715,0,1224,1626,68,malicious
2026-05-23 12:44:30.185120,12,44,30,53.1,66.2,49.7,84.3,105.73,214,214,203,3,3,2,4,6,2,3,763,3.5654,214,1.0,214,10,10,1,0.2481,0,2008,1719,135,malicious
2026-05-23 12:44:30.967328,12,44,30,50.0,68.1,49.7,84.3,105.75,214,214,203,4,3,2,4,6,2,3,764,3.5701,214,1.0,214,10,10,1,0.2336,0,3708,2064,375,malicious
2026-05-23 12:44:31.677351,12,44,31,44.8,68.4,49.8,84.3,105.76,214,214,203,2,3,2,4,6,2,3,764,3.5701,214,1.0,214,10,10,1,0.2093,0,3015,1879,270,malicious
2026-05-23 12:44:32.563585,12,44,32,13.8,68.0,49.9,84.3,105.77,213,213,202,1,3,2,4,6,2,3,763,3.5822,213,1.0,213,10,10,1,0.0648,0,2453,2123,469,malicious
2026-05-23 12:44:33.356227,12,44,33,43.3,68.5,49.8,84.3,105.79,213,213,202,2,3,2,4,6,2,3,768,3.6056,213,1.0,213,10,10,1,0.2033,0,2400,2012,408,malicious
2026-05-23 12:44:34.087516,12,44,34,41.4,69.0,49.8,84.3,105.8,214,214,203,3,3,2,4,6,2,3,770,3.5981,214,1.0,214,10,10,1,0.1935,0,1490,1809,139,malicious
2026-05-23 12:44:35.231624,12,44,35,6.5,69.9,50.3,84.3,105.81,215,215,204,1,3,2,4,6,2,3,772,3.5907,215,1.0,215,10,10,1,0.0302,0,1659,1609,76,malicious
2026-05-23 12:44:36.316517,12,44,36,6.9,69.9,50.6,84.3,105.83,215,214,203,1,3,2,4,6,3,3,754,3.507,215,1.0,215,9,9,1,0.0321,0,2610,1753,110,malicious
2026-05-23 12:44:37.114412,12,44,37,0.0,68.4,50.2,84.3,105.85,214,214,203,2,3,2,4,6,3,3,749,3.5,214,1.0,214,9,9,1,0.0,0,6461,1701,125,malicious
2026-05-23 12:44:37.875069,12,44,37,0.0,68.5,50.2,84.3,105.86,214,213,202,1,3,2,4,6,2,3,747,3.4907,214,1.0,214,9,9,1,0.0,0,413,1720,118,malicious
