timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,label
2026-05-24 00:30:45.747027,0,30,45,32.4,63.6,66.4,78.3,123.09,267,267,255,5,5,1,11,5,1,4,987,3.6966,267,1.0,267,32,32,2,0.1213,0,5777,3477,640,benign
2026-05-24 00:30:46.465355,0,30,46,47.4,63.6,66.4,78.3,123.11,264,264,252,5,5,1,10,5,1,4,984,3.7273,264,1.0,264,32,32,2,0.1795,0,5854,2482,654,benign
2026-05-24 00:30:47.174926,0,30,47,44.7,63.6,66.4,78.3,123.12,264,264,252,5,5,1,10,5,1,4,985,3.7311,264,1.0,264,31,31,2,0.1693,0,6422,2742,924,benign
2026-05-24 00:30:47.889859,0,30,47,36.8,63.6,66.4,78.3,123.13,264,264,252,5,5,1,10,5,1,4,985,3.7311,264,1.0,264,31,31,2,0.1394,0,5779,2447,634,benign
2026-05-24 00:30:48.628765,0,30,48,82.1,63.6,66.4,78.3,123.14,264,264,252,5,5,1,10,5,1,4,985,3.7311,264,1.0,264,31,31,2,0.311,0,6115,2432,660,benign
2026-05-24 00:30:49.352872,0,30,49,40.0,63.6,66.4,78.3,123.15,264,264,252,5,5,1,10,5,1,4,985,3.7311,264,1.0,264,31,31,2,0.1515,0,6180,2501,702,benign
2026-05-24 00:30:50.070148,0,30,50,65.8,63.7,66.4,78.3,123.17,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,31,31,2,0.2492,0,6709,2697,723,benign
2026-05-24 00:30:50.787554,0,30,50,30.6,63.6,66.4,78.3,123.18,267,267,255,5,5,1,11,5,1,4,989,3.7041,267,1.0,267,31,31,2,0.1146,0,6732,3580,754,benign
2026-05-24 00:30:51.487577,0,30,51,42.1,63.7,66.4,78.3,123.19,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,30,30,2,0.1595,0,5595,2502,643,benign
2026-05-24 00:30:52.195475,0,30,52,29.7,63.7,66.4,78.3,123.2,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,30,30,2,0.1125,0,5710,2447,632,benign
2026-05-24 00:30:52.910190,0,30,52,35.1,63.6,66.4,78.3,123.21,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,30,30,2,0.133,0,5631,2408,615,benign
2026-05-24 00:30:53.606881,0,30,53,30.6,63.7,66.4,78.3,123.23,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,30,30,2,0.1159,0,6029,2459,651,benign
2026-05-24 00:30:54.314271,0,30,54,44.4,63.7,66.4,78.3,123.24,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,30,30,2,0.1682,0,5849,2366,590,benign
