timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,label
2026-05-23 15:44:50.923266,15,44,50,4.6,43.5,6.6,93.8,302.8,224,226,2,0,1,1,1,0,8,2768,12.3571,0,0.0,1613,106,107,1,4.6,benign
2026-05-23 15:45:02.649913,15,45,2,3.9,43.5,6.6,93.8,303.0,224,226,3,0,1,1,1,0,8,2740,12.2321,0,0.0,1613,104,105,1,3.9,benign
2026-05-23 15:45:14.033939,15,45,14,10.7,43.5,6.6,93.8,303.19,223,226,3,0,1,1,1,0,8,2755,12.3543,0,0.0,1613,102,103,1,10.7,benign
2026-05-23 15:45:25.860221,15,45,25,3.9,43.6,6.6,93.8,303.38,224,226,2,0,1,1,1,0,8,2746,12.2589,0,0.0,1614,106,105,1,3.9,benign
2026-05-23 15:45:37.447731,15,45,37,9.7,43.6,6.6,93.8,303.58,224,226,4,0,1,1,1,0,8,2749,12.2723,0,0.0,1613,109,107,1,9.7,benign
2026-05-23 15:45:48.680292,15,45,48,8.1,43.5,6.6,93.8,303.77,224,226,3,0,1,1,1,0,8,2704,12.0714,0,0.0,1612,102,106,1,8.1,benign
2026-05-23 15:45:59.924607,15,45,59,3.8,43.5,6.6,93.8,303.96,223,225,2,0,1,1,1,0,8,2706,12.1345,0,0.0,1613,102,102,1,3.8,benign
2026-05-23 15:46:11.379955,15,46,11,2.6,43.5,6.6,93.8,304.15,223,225,2,0,1,1,1,0,8,2696,12.0897,0,0.0,1613,101,101,1,2.6,benign
2026-05-23 15:46:23.026978,15,46,23,3.3,43.5,6.6,93.8,304.34,223,225,2,0,1,1,1,0,8,2683,12.0314,0,0.0,1613,105,103,1,3.3,benign
2026-05-23 15:46:34.417617,15,46,34,9.3,43.5,6.6,93.8,304.53,223,225,3,0,1,1,1,0,8,2687,12.0493,0,0.0,1613,105,106,1,9.3,benign
2026-05-23 15:46:45.846092,15,46,45,2.5,43.5,6.6,93.8,304.72,222,224,2,0,1,1,1,0,8,2673,12.0405,0,0.0,1609,103,103,1,2.5,benign
2026-05-23 15:46:57.748710,15,46,57,6.3,43.9,6.6,93.8,304.91,224,226,2,0,1,1,1,0,8,2734,12.2054,0,0.0,1639,108,103,1,6.3,benign
2026-05-23 15:47:09.702419,15,47,9,25.9,44.6,6.6,93.8,305.11,224,226,3,1,1,1,1,0,8,2715,12.1205,0,0.0,2148,109,109,1,25.9,benign
2026-05-23 15:47:21.294551,15,47,21,1.9,44.5,6.6,93.8,305.31,224,226,2,1,1,1,1,0,8,2729,12.183,0,0.0,2148,114,109,1,1.9,benign
2026-05-23 15:47:32.946320,15,47,32,7.5,44.5,6.6,93.8,305.5,224,226,3,1,1,1,1,0,8,2717,12.1295,0,0.0,1637,105,113,1,7.5,benign
2026-05-23 15:47:44.639809,15,47,44,2.6,44.0,6.6,93.8,305.7,224,226,3,0,1,1,1,0,8,2733,12.2009,0,0.0,1638,106,107,1,2.6,benign
2026-05-23 15:47:56.694075,15,47,56,8.8,44.0,6.6,93.8,305.89,224,226,3,0,1,1,1,0,8,2727,12.1741,0,0.0,1638,109,107,1,8.8,benign
2026-05-23 15:48:08.310690,15,48,8,1.9,44.0,6.6,93.8,306.09,224,224,2,0,1,1,1,0,8,2689,12.0045,0,0.0,1618,110,109,1,1.9,benign
2026-05-23 15:48:19.820489,15,48,19,1.9,43.7,6.6,93.8,306.29,222,224,2,0,1,1,1,0,8,2697,12.1486,0,0.0,1613,114,110,1,1.9,benign
2026-05-23 15:48:30.907057,15,48,30,2.5,43.7,6.6,93.8,306.48,222,224,2,0,1,1,1,0,8,2704,12.1802,0,0.0,1613,107,111,1,2.5,benign
2026-05-23 15:48:42.462294,15,48,42,5.6,43.7,6.6,93.8,306.66,222,224,2,0,1,1,1,0,8,2723,12.2658,0,0.0,1613,106,110,1,5.6,benign
2026-05-23 15:48:54.210595,15,48,54,5.1,43.7,6.6,93.8,306.86,222,224,3,0,1,1,1,0,8,2710,12.2072,0,0.0,1612,105,106,1,5.1,benign
2026-05-23 15:49:05.711780,15,49,5,3.8,43.7,6.6,93.8,307.05,222,224,2,0,1,1,1,0,8,2702,12.1712,0,0.0,1612,106,106,1,3.8,benign
2026-05-23 15:49:17.001073,15,49,17,5.7,43.8,6.6,93.8,307.24,222,224,2,0,1,1,1,0,8,2726,12.2793,0,0.0,1613,107,106,1,5.7,benign
2026-05-23 15:49:28.674670,15,49,28,3.2,43.8,6.6,93.8,307.43,222,225,2,0,1,1,1,0,8,2745,12.3649,0,0.0,1613,109,111,1,3.2,benign
2026-05-23 15:49:39.977983,15,49,39,1.9,43.7,6.6,93.8,307.63,223,225,2,0,1,1,1,0,8,2729,12.2377,0,0.0,1612,105,109,1,1.9,benign
2026-05-23 15:49:51.914275,15,49,51,6.4,43.8,6.6,93.8,307.82,223,225,2,0,1,1,1,0,8,2725,12.2197,0,0.0,1612,100,100,1,6.4,benign
2026-05-23 15:50:03.462213,15,50,3,11.2,43.7,6.6,93.8,308.01,226,228,3,0,1,1,1,0,8,2764,12.2301,0,0.0,1613,99,100,1,11.2,benign
2026-05-23 15:50:15.449165,15,50,15,2.5,43.8,6.6,93.8,308.21,226,228,3,0,1,1,1,0,8,2769,12.2522,0,0.0,1612,101,101,1,2.5,benign
2026-05-23 15:50:27.118232,15,50,27,6.9,43.8,6.6,93.8,308.41,226,228,2,0,1,1,1,0,8,2735,12.1018,0,0.0,1612,104,106,1,6.9,benign
2026-05-23 15:50:39.026181,15,50,39,12.3,43.7,6.6,93.8,308.6,225,227,3,0,1,1,1,0,8,2724,12.1067,0,0.0,1611,101,104,1,12.3,benign
2026-05-23 15:50:50.662096,15,50,50,2.0,43.7,6.6,93.8,308.8,225,227,2,0,1,1,1,0,8,2731,12.1378,0,0.0,1612,99,99,1,2.0,benign
2026-05-23 15:51:02.347072,15,51,2,7.5,43.7,6.6,93.8,308.99,225,226,2,0,1,1,1,0,8,2724,12.1067,0,0.0,1612,99,99,1,7.5,benign
2026-05-23 15:51:14.014492,15,51,14,1.3,43.7,6.6,93.8,309.19,224,226,2,0,1,1,1,0,8,2739,12.2277,0,0.0,1612,98,98,1,1.3,benign
2026-05-23 15:51:25.463052,15,51,25,11.8,43.7,6.6,93.8,309.38,224,226,3,0,1,1,1,0,8,2721,12.1473,0,0.0,1612,101,100,1,11.8,benign
2026-05-23 15:51:37.155201,15,51,37,1.9,43.7,6.6,93.8,309.57,223,225,2,0,1,1,1,0,8,2688,12.0538,0,0.0,1612,101,101,1,1.9,benign
2026-05-23 15:51:48.821438,15,51,48,11.8,43.7,6.6,93.8,309.77,223,226,2,0,1,1,1,0,8,2707,12.139,0,0.0,1627,99,99,1,11.8,benign
2026-05-23 15:52:00.435962,15,52,0,1.9,44.0,6.6,93.8,309.96,225,227,2,0,1,1,1,0,8,2718,12.08,0,0.0,1637,98,99,1,1.9,benign
2026-05-23 15:52:12.005299,15,52,12,6.2,44.0,6.6,93.8,310.16,225,227,3,0,1,1,1,0,8,2739,12.1733,0,0.0,1638,98,97,1,6.2,benign
2026-05-23 15:52:23.673087,15,52,23,6.9,44.0,6.6,93.8,310.35,224,226,3,0,1,1,1,0,8,2757,12.308,0,0.0,1638,103,100,1,6.9,benign
2026-05-23 15:52:35.439031,15,52,35,3.1,44.0,6.6,93.8,310.54,224,226,2,0,1,1,1,0,8,2759,12.317,0,0.0,1638,101,103,1,3.1,benign
2026-05-23 15:52:47.044018,15,52,47,5.3,44.0,6.6,93.8,310.74,224,226,3,0,1,1,1,0,8,2709,12.0938,0,0.0,1617,99,100,1,5.3,benign
2026-05-23 15:52:58.647466,15,52,58,3.4,43.7,6.6,93.8,310.93,222,224,3,0,1,1,1,0,8,2705,12.1847,0,0.0,1617,96,97,1,3.4,benign
2026-05-23 15:53:10.219147,15,53,10,5.0,43.8,6.6,93.8,311.13,224,226,3,0,1,1,1,0,8,2735,12.2098,0,0.0,1615,95,96,1,5.0,benign
2026-05-23 15:53:21.985599,15,53,21,4.7,43.7,6.6,93.8,311.32,224,226,2,0,1,1,1,0,8,2745,12.2545,0,0.0,1615,100,95,1,4.7,benign
2026-05-23 15:53:33.429777,15,53,33,3.1,43.7,6.6,93.8,311.52,224,226,2,0,1,1,1,0,8,2732,12.1964,0,0.0,1614,98,99,1,3.1,benign
2026-05-23 15:53:45.044603,15,53,45,6.9,43.7,6.6,93.8,311.71,224,226,3,0,1,1,1,0,8,2748,12.2679,0,0.0,1615,94,96,1,6.9,benign
2026-05-23 15:53:56.768923,15,53,56,5.0,43.7,6.6,93.8,311.9,224,226,2,0,1,1,1,0,8,2700,12.0536,0,0.0,1615,93,94,1,5.0,benign
2026-05-23 15:54:21.358886,15,54,21,6.5,43.7,6.6,93.8,312.1,223,226,5,0,1,1,1,0,8,2777,12.4529,0,0.0,1612,102,93,1,6.5,benign
2026-05-23 15:54:44.272339,15,54,44,28.7,44.0,6.6,93.8,312.51,224,225,4,0,1,1,1,0,8,2756,12.3036,0,0.0,1612,96,103,1,28.7,benign
2026-05-23 15:55:06.822648,15,55,6,13.8,43.9,6.6,93.8,312.89,223,225,3,0,1,1,1,0,8,2742,12.296,0,0.0,1611,93,95,1,13.8,benign
2026-05-23 15:55:30.111106,15,55,30,15.6,43.9,6.6,93.8,313.26,223,225,3,0,1,1,1,0,8,2730,12.2422,0,0.0,1611,99,96,1,15.6,benign
2026-05-23 15:55:53.005729,15,55,53,22.2,43.9,6.6,93.8,313.65,223,225,4,0,1,1,1,0,8,2740,12.287,0,0.0,1612,96,98,1,22.2,benign
2026-05-23 15:56:16.778617,15,56,16,9.8,43.9,6.6,93.8,314.03,223,224,2,0,1,1,1,0,8,2668,11.9641,0,0.0,1611,98,97,1,9.8,benign
2026-05-23 15:56:39.902383,15,56,39,29.3,43.0,6.6,93.8,314.43,223,225,5,0,1,1,1,0,8,2656,11.9103,0,0.0,1611,97,102,1,29.3,benign
2026-05-23 15:57:03.543137,15,57,3,11.7,43.2,6.6,93.8,314.81,224,227,3,0,1,1,1,0,8,2703,12.067,0,0.0,1638,101,98,1,11.7,benign
2026-05-23 15:57:28.567586,15,57,28,25.3,43.5,6.6,93.8,315.21,225,227,3,0,1,1,1,0,8,2706,12.0267,0,0.0,1637,101,98,1,25.3,benign
2026-05-23 15:57:51.324661,15,57,51,13.7,43.4,6.6,93.8,315.63,225,227,3,0,1,1,1,0,8,2678,11.9022,0,0.0,1626,96,97,1,13.7,benign
2026-05-23 15:58:14.002258,15,58,14,9.2,43.2,6.6,93.8,316.0,223,224,3,0,1,1,1,0,8,2663,11.9417,0,0.0,1611,95,96,1,9.2,benign
2026-05-23 15:58:38.066210,15,58,38,15.3,43.2,6.6,93.8,316.38,222,224,3,0,1,1,1,0,8,2673,12.0405,0,0.0,1611,98,99,1,15.3,benign
2026-05-23 15:59:00.370855,15,59,0,14.0,43.5,6.6,93.8,316.78,222,223,4,0,1,1,1,0,8,2658,11.973,0,0.0,1611,95,95,1,14.0,benign
2026-05-23 15:59:22.838294,15,59,22,19.9,43.6,6.6,93.8,317.16,222,224,3,0,1,1,1,0,8,2708,12.1982,0,0.0,1613,102,95,1,19.9,benign
2026-05-23 15:59:41.065379,15,59,41,8.1,45.3,6.6,93.8,317.53,224,224,3,0,1,1,1,0,8,2869,12.808,0,0.0,1616,99,103,1,8.1,benign
2026-05-23 15:59:58.828868,15,59,58,8.7,44.7,6.6,93.8,317.83,224,224,3,0,1,1,1,0,8,2857,12.7545,0,0.0,1616,96,99,1,8.7,benign
2026-05-23 16:00:16.617194,16,0,16,7.5,44.6,6.6,93.8,318.13,224,224,2,0,1,1,1,0,8,2861,12.7723,0,0.0,1616,97,96,1,7.5,benign
2026-05-23 16:00:34.031867,16,0,34,8.7,44.6,6.6,93.8,318.43,222,222,3,0,1,1,1,0,8,2819,12.6982,0,0.0,1611,99,99,1,8.7,benign
2026-05-23 16:00:51.628006,16,0,51,23.5,44.5,6.6,93.8,318.72,221,221,4,0,1,1,1,0,8,2713,12.276,0,0.0,1611,94,97,1,23.5,benign
2026-05-23 16:01:08.881344,16,1,8,9.8,44.5,6.6,93.8,319.01,221,221,3,0,1,1,1,0,8,2711,12.267,0,0.0,1611,93,94,1,9.8,benign
2026-05-23 16:01:26.275895,16,1,26,5.3,44.5,6.6,93.8,319.3,221,221,3,0,1,1,1,0,8,2715,12.2851,0,0.0,1611,98,93,1,5.3,benign
2026-05-23 16:01:43.833387,16,1,43,11.3,44.5,6.6,93.8,319.59,221,221,3,0,1,1,1,0,8,2644,11.9638,0,0.0,1601,95,98,1,11.3,benign
2026-05-23 16:02:01.510445,16,2,1,29.0,44.9,6.6,93.8,319.88,223,223,3,0,1,1,1,0,8,2666,11.9552,0,0.0,1637,94,94,1,29.0,benign
2026-05-23 16:02:19.302685,16,2,19,7.2,44.9,6.6,93.8,320.17,223,223,2,0,1,1,1,0,8,2717,12.1839,0,0.0,1637,99,94,1,7.2,benign
2026-05-23 16:02:37.095619,16,2,37,7.5,44.8,6.6,93.8,320.47,223,223,2,0,1,1,1,0,8,2727,12.2287,0,0.0,1637,98,98,1,7.5,benign
2026-05-23 16:02:55.086415,16,2,55,7.2,44.9,6.6,93.8,320.77,223,223,3,0,1,1,1,0,8,2673,11.9865,0,0.0,1616,95,94,1,7.2,benign
2026-05-23 16:03:12.378177,16,3,12,13.0,44.5,6.6,93.8,321.07,221,221,3,0,1,1,1,0,8,2680,12.1267,0,0.0,1611,94,95,1,13.0,benign
2026-05-23 16:03:29.518051,16,3,29,7.2,44.6,6.6,93.8,321.36,221,221,3,0,1,1,1,0,8,2690,12.1719,0,0.0,1611,98,96,1,7.2,benign
2026-05-23 16:03:46.849612,16,3,46,15.0,44.8,6.6,93.8,321.64,224,224,3,0,1,1,1,0,8,2761,12.3259,0,0.0,1611,93,97,1,15.0,benign
2026-05-23 16:04:04.611152,16,4,4,11.7,44.8,6.6,93.8,321.93,224,224,2,0,1,1,1,0,8,2722,12.1518,0,0.0,1611,95,95,1,11.7,benign
2026-05-23 16:04:22.211669,16,4,22,8.6,44.7,6.6,93.8,322.23,224,224,4,0,1,1,1,0,8,2710,12.0982,0,0.0,1611,103,95,1,8.6,benign
2026-05-23 16:04:39.640909,16,4,39,18.8,44.7,6.6,93.8,322.52,223,223,2,0,1,1,1,0,8,2707,12.139,0,0.0,1612,104,106,1,18.8,benign
2026-05-23 16:04:56.995324,16,4,56,12.4,44.6,6.6,93.8,322.81,221,221,2,0,1,1,1,0,8,2710,12.2624,0,0.0,1612,100,102,1,12.4,benign
2026-05-23 16:05:14.525798,16,5,14,17.1,44.7,6.6,93.8,323.1,221,221,4,0,1,1,1,0,8,2685,12.1493,0,0.0,1612,101,101,1,17.1,benign
2026-05-23 16:05:31.942869,16,5,31,7.4,44.6,6.6,93.8,323.39,221,221,3,0,1,1,1,0,8,2682,12.1357,0,0.0,1612,103,105,1,7.4,benign
2026-05-23 16:05:49.324508,16,5,49,5.6,44.6,6.6,93.8,323.68,221,221,3,0,1,1,1,0,8,2692,12.181,0,0.0,1612,101,102,1,5.6,benign
2026-05-23 16:06:06.893967,16,6,6,13.5,44.6,6.6,93.8,323.97,221,221,2,0,1,1,1,0,8,2689,12.1674,0,0.0,1612,99,101,1,13.5,benign
2026-05-23 16:06:25.005783,16,6,25,21.1,44.6,6.6,93.8,324.26,221,221,4,0,1,1,1,0,8,2677,12.1131,0,0.0,1612,102,98,1,21.1,benign
2026-05-23 16:06:43.237695,16,6,43,31.5,45.5,6.6,93.8,324.57,222,222,4,0,1,1,1,0,8,2700,12.1622,0,0.0,1612,109,103,1,31.5,benign
2026-05-23 16:07:02.189232,16,7,2,32.3,46.2,6.6,93.8,324.87,225,225,5,0,1,1,1,0,8,2775,12.3333,0,0.0,1638,114,115,1,32.3,benign
2026-05-23 16:07:21.835689,16,7,21,12.5,47.2,6.6,93.8,325.19,225,225,4,0,1,1,1,0,8,2752,12.2311,0,0.0,1639,107,114,1,12.5,benign
2026-05-23 16:07:40.733513,16,7,40,20.5,47.3,6.5,93.8,325.51,225,225,5,0,1,1,1,0,8,2734,12.1511,0,0.0,1638,102,106,1,20.5,benign
2026-05-23 16:08:00.021940,16,8,0,37.2,46.2,6.5,93.8,325.83,225,223,4,0,1,1,1,0,8,2704,12.0178,0,0.0,1618,108,107,1,37.2,benign
2026-05-23 16:08:18.603445,16,8,18,15.2,46.0,6.5,93.8,326.15,223,223,5,0,1,1,1,0,8,2730,12.2422,0,0.0,1613,102,107,1,15.2,benign
2026-05-23 16:08:37.131571,16,8,37,43.6,45.9,6.5,93.8,326.46,223,223,7,0,1,1,1,0,8,2677,12.0045,0,0.0,1613,110,103,1,43.6,benign
2026-05-23 16:08:55.179549,16,8,55,9.9,46.1,6.5,93.8,326.77,223,223,5,0,1,1,1,0,8,2673,11.9865,0,0.0,1613,108,106,1,9.9,benign
2026-05-23 16:09:13.761799,16,9,13,23.9,46.2,6.5,93.8,327.07,223,223,4,0,1,1,1,0,8,2678,12.009,0,0.0,1613,107,108,1,23.9,benign
