timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,label
2026-05-23T05:14:34.498411,5,14,34,2.5,51.6,0.0,71.8,519.14,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.5,benign
2026-05-23T05:14:36.989394,5,14,36,0.9,51.6,0.0,71.8,519.18,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:14:39.489692,5,14,39,0.9,51.6,0.0,71.8,519.22,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:14:41.923089,5,14,41,1.8,51.6,0.0,71.8,519.26,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.8,benign
2026-05-23T05:14:44.445409,5,14,44,0.9,51.6,0.0,71.8,519.3,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:14:46.893821,5,14,46,3.6,51.6,0.0,71.8,519.35,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,3.6,benign
2026-05-23T05:14:49.374001,5,14,49,1.8,51.6,0.0,71.8,519.39,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.8,benign
2026-05-23T05:14:51.876249,5,14,51,0.0,51.6,0.0,71.8,519.43,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.0,benign
2026-05-23T05:14:54.343160,5,14,54,0.0,51.6,0.0,71.8,519.47,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.0,benign
2026-05-23T05:14:56.789697,5,14,56,2.7,51.6,0.0,71.8,519.51,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.7,benign
2026-05-23T05:14:59.221703,5,14,59,2.9,51.6,0.0,71.8,519.55,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.9,benign
2026-05-23T05:15:01.716790,5,15,1,3.4,51.6,0.0,71.8,519.59,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,3.4,benign
2026-05-23T05:15:04.301606,5,15,4,0.9,51.6,0.0,71.8,519.63,225,225,217,1,2,1,6,5,0,4,562,2.4978,0,0.0,114,18,19,2,0.9,benign
2026-05-23T05:15:06.819890,5,15,6,1.8,51.6,0.0,71.8,519.68,225,225,217,1,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.8,benign
2026-05-23T05:15:09.243873,5,15,9,0.9,51.6,0.0,71.8,519.72,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:15:11.759462,5,15,11,0.9,51.6,0.0,71.8,519.76,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:15:14.220140,5,15,14,2.7,51.6,0.0,71.8,519.8,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.7,benign
2026-05-23T05:15:16.666173,5,15,16,2.8,51.6,0.0,71.8,519.84,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.8,benign
2026-05-23T05:15:19.182577,5,15,19,1.8,51.6,0.0,71.8,519.88,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.8,benign
2026-05-23T05:15:21.671423,5,15,21,1.8,51.6,0.0,71.8,519.92,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.8,benign
2026-05-23T05:15:24.148176,5,15,24,2.0,51.6,0.0,71.8,519.97,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.0,benign
2026-05-23T05:15:26.582485,5,15,26,1.9,51.6,0.0,71.8,520.01,225,225,217,1,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.9,benign
2026-05-23T05:15:29.042213,5,15,29,1.8,51.6,0.0,71.8,520.05,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.8,benign
2026-05-23T05:15:31.549833,5,15,31,2.8,51.7,0.0,71.8,520.09,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.8,benign
2026-05-23T05:15:34.062978,5,15,34,3.8,51.7,0.0,71.8,520.13,225,225,217,0,2,1,6,5,0,4,563,2.5022,0,0.0,114,17,18,2,3.8,benign
2026-05-23T05:15:36.502440,5,15,36,1.8,51.7,0.0,71.8,520.17,225,225,217,0,2,1,6,5,0,4,563,2.5022,0,0.0,114,17,18,2,1.8,benign
2026-05-23T05:15:38.963004,5,15,38,1.6,51.7,0.0,71.8,520.21,225,225,217,0,2,1,6,5,0,4,563,2.5022,0,0.0,114,17,18,2,1.6,benign
2026-05-23T05:15:41.522941,5,15,41,2.5,51.7,0.0,71.8,520.25,225,225,217,0,2,1,6,5,0,4,563,2.5022,0,0.0,114,17,18,2,2.5,benign
2026-05-23T05:15:44.005742,5,15,44,3.8,51.7,0.0,71.8,520.3,225,225,217,0,2,1,6,5,0,4,563,2.5022,0,0.0,114,17,18,2,3.8,benign
2026-05-23T05:15:46.441280,5,15,46,0.9,51.7,0.0,71.8,520.34,225,225,217,0,2,1,6,5,0,4,563,2.5022,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:15:48.864398,5,15,48,4.4,51.7,0.0,71.8,520.38,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,4.4,benign
2026-05-23T05:15:51.353443,5,15,51,2.7,51.6,0.0,71.8,520.42,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.7,benign
2026-05-23T05:15:54.060545,5,15,54,3.6,51.6,0.0,71.8,520.46,225,225,217,1,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,3.6,benign
2026-05-23T05:15:56.498548,5,15,56,0.9,51.6,0.0,71.8,520.51,225,225,217,1,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:15:58.946355,5,15,58,1.8,51.6,0.0,71.8,520.55,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.8,benign
2026-05-23T05:16:01.623669,5,16,1,2.8,51.6,0.0,71.8,520.59,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.8,benign
2026-05-23T05:16:04.166548,5,16,4,1.6,51.6,0.0,71.8,520.63,225,225,217,1,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.6,benign
2026-05-23T05:16:06.600006,5,16,6,2.0,51.6,0.0,71.8,520.67,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.0,benign
2026-05-23T05:16:09.028481,5,16,9,0.0,51.6,0.0,71.8,520.72,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.0,benign
2026-05-23T05:16:11.541184,5,16,11,0.0,51.6,0.0,71.8,520.76,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.0,benign
